#station,X,Y,Z
dsa-0000,-2037043.0528338992,-4486114.336275279,4039561.4161864603
dsa-0001,-2036592.7003571235,-4485221.883022762,4040771.173318544
dsa-0002,-2036610.5114398561,-4485198.334196412,4040788.219042622
dsa-0003,-2036902.9316407577,-4484927.453243035,4040940.469488333
dsa-0004,-2037141.1273009134,-4485180.525068272,4040542.209002042
dsa-0005,-2036885.9019939734,-4485037.630552843,4040827.524702347
dsa-0006,-2036538.136329616,-4485544.218836347,4040443.1149215386
dsa-0007,-2037070.2015305585,-4484799.3794327015,4040997.929709612
dsa-0008,-2036482.7806345255,-4485147.544329685,4040908.1579438588
dsa-0009,-2036483.7252397821,-4484514.2920992,4041605.8485641736
dsa-0010,-2036212.1205383053,-4485487.477909661,4040668.8865018156
dsa-0011,-2037213.252567187,-4485207.139445227,4040476.75827349
dsa-0012,-2036905.9824398963,-4485547.5121306935,4040255.3276222763
dsa-0013,-2036012.0534430512,-4484905.940311405,4041410.191820699
dsa-0014,-2037285.3955934811,-4484739.066226773,4040956.691414207
dsa-0015,-2036399.040286633,-4484434.756396734,4041735.932832825
dsa-0016,-2035991.471310822,-4485604.0095183635,4040650.875087222
dsa-0017,-2036041.7487338313,-4484444.106146026,4041904.497209141
dsa-0018,-2037487.9519535617,-4485068.003083599,4040492.632040937
dsa-0019,-2036179.9839243218,-4485806.73254753,4040332.9971626876
dsa-0020,-2036433.8022392127,-4485927.8223209195,4040072.425565395
dsa-0021,-2035669.9333944411,-4485396.08594721,4041041.083658686
dsa-0022,-2037579.3768180641,-4484897.317704177,4040635.0421245694
dsa-0023,-2037116.3939674376,-4485964.931959497,4039689.783260816
dsa-0024,-2036655.6234969804,-4484207.957507262,4041857.524063961
dsa-0025,-2036546.33123657,-4485864.522344525,4040085.877853745
dsa-0026,-2037161.5862926536,-4482559.490527768,4043420.039481693
dsa-0027,-2036954.5806265385,-4484296.4012686,4041610.346627487
dsa-0028,-2028675.848249264,-4487578.651650445,4042127.545052641
dsa-0029,-2034154.6445651345,-4483571.284869523,4043809.4327410245
dsa-0030,-2037573.9569777832,-4485510.379020125,4039961.85577101
dsa-0031,-2035888.3418841457,-4485906.625838048,4040368.8709328705
dsa-0032,-2036649.080287419,-4484085.336242331,4041995.9896871494
dsa-0033,-2036942.04711417,-4486194.992094805,4039523.426152751
dsa-0034,-2035752.133269982,-4485793.465160544,4040561.821236183
dsa-0035,-2037011.3313932924,-4484156.68465624,4041735.972713777
dsa-0036,-2035825.1942459608,-4484539.910474453,4041907.287640106
dsa-0037,-2036132.282805828,-4486210.047379719,4039912.22364012
dsa-0038,-2038065.2512217516,-4485095.950175735,4040172.8044734644
dsa-0039,-2043697.712909896,-4486263.970912803,4036056.075183718
dsa-0040,-2037579.8901460236,-4485930.788270033,4039495.3844907507
dsa-0041,-2037932.0796035202,-4484939.062874677,4040412.442926682
dsa-0042,-2035598.5896256263,-4485507.000356625,4040954.517742821
dsa-0043,-2035871.1390521142,-4486632.228487175,4039576.930734816
dsa-0044,-2038070.888144727,-4484744.895838331,4040557.019620082
dsa-0045,-2035658.8661461214,-4484225.54647411,4042337.1433322863
dsa-0046,-2037878.9130945655,-4485388.876885381,4039943.140252144
dsa-0047,-2035313.1223170846,-4485769.316642413,4040808.2289800844
dsa-0048,-2036491.2112470495,-4486572.507979973,4039332.919106197
dsa-0049,-2037244.4131875858,-4483894.863925812,4041907.9411214725
dsa-0050,-2036852.5290921975,-4483974.864070142,4042015.931701416
dsa-0051,-2037412.3023777765,-4486128.848043676,4039360.9239301686
dsa-0052,-2038857.1560005478,-4482291.074339504,4042866.668821058
dsa-0053,-2037808.9662630789,-4485792.635536018,4039533.0143908653
dsa-0054,-2037406.1387544386,-4483823.967727909,4041905.1387404776
dsa-0055,-2036897.3214858272,-4486412.223533168,4039306.3198210415
dsa-0056,-2037355.1886052247,-4483835.970308833,4041917.41330382
dsa-0057,-2037008.5654372592,-4483623.482336018,4042325.212666983
dsa-0058,-2036540.7592557324,-4486703.304355659,4039163.9107435467
dsa-0059,-2038329.139813968,-4485296.247829635,4039819.8647100865
dsa-0060,-2037757.2015252123,-4485858.408366062,4039486.4150997796
dsa-0061,-2035503.6385520154,-4486339.637675071,4040084.071407613
dsa-0062,-2038305.1725507213,-4484642.363504423,4040552.770602646
dsa-0063,-2035499.541453164,-4484254.3295081165,4042385.1734895553
dsa-0064,-2036025.2771042306,-4486515.146620078,4039629.422664156
dsa-0065,-2030874.5882881419,-4486270.815147501,4042472.8463286585
